         88098901 function calls (85082861 primitive calls) in 93.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   983338    0.121    0.000    0.121    0.000 {built-in method math.sqrt}
    42193    0.121    0.000    4.944    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\world_gen\world.py:237(update)
   156580    0.120    0.000    0.567    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:209(broadcast)
   106375    0.115    0.000    0.125    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\np\numpy_support.py:362(ufunc_can_cast)
312328/254197    0.111    0.000    0.188    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\abstract.py:121(__hash__)
    42193    0.109    0.000    0.109    0.000 {built-in method pygame.key.get_pressed}
    84388    0.107    0.000    0.107    0.000 {built-in method numpy.asarray}
   103076    0.107    0.000    0.328    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:557(_set_name)
258667/256249    0.103    0.000    0.141    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\abstract.py:124(__eq__)
     5658    0.103    0.000    0.620    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\context.py:615(resolve_overload)
251106/111483    0.100    0.000    0.653    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
   307625    0.097    0.000    0.137    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:1293(find_insts)
   491368    0.094    0.000    0.178    0.000 <frozen abc>:117(__instancecheck__)
    42193    0.094    0.000    0.208    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\player\player.py:41(keyboard_control)
5865/5549    0.094    0.000    3.608    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\functions.py:281(get_call_type)
       18    0.093    0.005    0.093    0.005 {built-in method pygame.mask.from_surface}
    98569    0.091    0.000    0.142    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\_utils.py:24(deduplicate)
    70355    0.091    0.000    0.559    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:544(_to_string)
    80073    0.089    0.000    0.273    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\scene\sprite.py:104(update)
   121771    0.089    0.000    0.089    0.000 {method 'write' of 'mgl.Buffer' objects}
      774    0.088    0.000    0.088    0.000 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
185402/185000    0.088    0.000    0.185    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\_utils.py:54(get_reference)
    44388    0.084    0.000    0.090    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\scene\events.py:44(find_active_sprite)
    26826    0.084    0.000    0.116    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\scene\events.py:133(search_generic_event)
   156435    0.083    0.000    0.106    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:270(on_end)
   163353    0.083    0.000    0.178    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\pygame\sprite.py:440(__iter__)
    13367    0.081    0.000    0.182    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\builder.py:968(extract_value)
    67241    0.079    0.000    0.382    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\instructions.py:13(__init__)
   491368    0.079    0.000    0.084    0.000 {built-in method _abc._abc_instancecheck}
    42193    0.076    0.000    0.615    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\player\player.py:20(update)
