         30362448 function calls (29093367 primitive calls) in 54.239 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30811   36.086    0.001   36.086    0.001 {method 'tick' of 'pygame.time.Clock' objects}
    21640    1.529    0.000    1.812    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\binding\ffi.py:190(__call__)
   354527    1.112    0.000    1.112    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\player\voxel_handler.py:147(get_voxel_id)
    30811    0.640    0.000    0.640    0.000 {built-in method pygame.display.flip}
       64    0.595    0.009    0.658    0.010 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\chunk.py:52(build_voxels)
273879/30431    0.570    0.000    3.022    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\world.py:83(svo_frustum_render)
   883464    0.498    0.000    2.126    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\chunk.py:43(render)
638513/97745    0.456    0.000    0.638    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:318(_rec_list_vars)
    30431    0.438    0.000    1.603    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\player\voxel_handler.py:89(ray_cast)
  1160582    0.436    0.000    0.846    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\_moderngl.py:94(write)
   441732    0.430    0.000    1.107    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\chunk.py:36(set_uniform)
       64    0.427    0.007    0.427    0.007 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\meshes\chunk_mesh_builder.py:237(build_chunk_mesh)
  1160582    0.411    0.000    0.411    0.000 {method '_write_uniform' of 'mgl.Context' objects}
    30811    0.315    0.000    0.315    0.000 {built-in method pygame.event.get}
  3667398    0.281    0.000    0.375    0.000 {built-in method builtins.isinstance}
    30431    0.277    0.000    1.051    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_objects\celestial_body.py:26(update)
   152155    0.229    0.000    0.284    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\player\frustum.py:26(is_on_frustum)
    60862    0.225    0.000    0.446    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numpy\linalg\_linalg.py:2566(norm)
   568504    0.212    0.000    0.412    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:1360(render)
   568504    0.201    0.000    0.201    0.000 {method 'render' of 'mgl.VertexArray' objects}
    60862    0.166    0.000    0.205    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_objects\celestial_body.py:87(update_body)
  1158961    0.156    0.000    0.156    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:411(__getitem__)
        1    0.128    0.128    0.128    0.128 {built-in method pygame.base.quit}
    30431    0.127    0.000    0.294    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\shader_program.py:54(update)
   406739    0.124    0.000    0.422    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\meshes\chunk_mesh.py:67(render_greedy)
    30811    0.108    0.000   39.899    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\GENESIM_LAB.py:81(update)
129084/64889    0.104    0.000    0.227    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\pprint.py:551(_safe_repr)
    30201    0.095    0.000    0.134    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\player\camera.py:36(update_vectors)
248089/133829    0.093    0.000    0.347    0.000 {method 'format' of 'str' objects}
    60862    0.091    0.000    0.091    0.000 {method 'dot' of 'numpy.ndarray' objects}
