         9884692 function calls (9347579 primitive calls) in 7.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    43200    0.016    0.000    0.079    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\chunk.py:38(render)
    31316    0.016    0.000    0.172    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\pprint.py:454(_repr)
    33041    0.016    0.000    0.112    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:557(_set_name)
   209957    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
    40216    0.016    0.000    0.023    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\targetconfig.py:111(getter)
20951/20644    0.016    0.000    0.141    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
    19778    0.015    0.000    0.017    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:104(__init__)
   237306    0.015    0.000    0.015    0.000 {method 'extend' of 'list' objects}
    27648    0.015    0.000    0.035    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\chunk.py:32(set_uniform)
200016/194040    0.015    0.000    0.016    0.000 {built-in method builtins.len}
       66    0.014    0.000    0.056    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\postproc.py:179(_patch_var_dels)
   101061    0.014    0.000    0.031    0.000 {method 'get' of 'dict' objects}
    21888    0.014    0.000    0.051    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ssa.py:190(_run_ssa_block_pass)
    15888    0.013    0.000    0.075    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:390(start_event)
    15888    0.013    0.000    0.094    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:404(end_event)
      635    0.013    0.000    0.013    0.000 {built-in method nt.stat}
16552/16513    0.013    0.000    0.014    0.000 {built-in method __new__ of type object at 0x00007FFEABE18F90}
    31776    0.013    0.000    0.027    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:100(__init__)
56493/56263    0.013    0.000    0.058    0.000 {method 'join' of 'str' objects}
    14665    0.013    0.000    0.027    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typeconv\typeconv.py:40(check_compatible)
