         60421876 function calls (59724258 primitive calls) in 38.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4096    9.810    0.002   10.753    0.003 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\chunk.py:53(build_voxels)
  5836432    6.046    0.000    7.367    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\player\frustum.py:26(is_on_frustum)
     4096    5.929    0.001    5.932    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\meshes\chunk_mesh_builder.py:117(build_chunk_mesh)
123095/2101    3.423    0.000   15.732    0.007 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\world.py:102(svo_frustum_render)
 17125102    1.321    0.000    1.321    0.000 {built-in method glm.dot}
  2140911    0.933    0.000    2.291    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\chunk.py:36(set_uniform)
    13136    0.928    0.000    1.102    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\binding\ffi.py:188(__call__)
  2140911    0.878    0.000    4.853    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\chunk.py:43(render)
  2159824    0.649    0.000    1.123    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\_moderngl.py:94(write)
  2155558    0.610    0.000    1.176    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:1141(render)
  2155558    0.567    0.000    0.567    0.000 {method 'render' of 'mgl.VertexArray' objects}
     2504    0.534    0.000    0.534    0.000 {method 'tick' of 'pygame.time.Clock' objects}
  2147214    0.520    0.000    1.690    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\meshes\base_mesh.py:39(render)
  2159824    0.473    0.000    0.473    0.000 {method '_write_uniform' of 'mgl.Context' objects}
  4194304    0.447    0.000    0.447    0.000 {built-in method glm.simplex}
  4201277    0.410    0.000    0.411    0.000 {built-in method builtins.min}
  2159820    0.255    0.000    0.255    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:336(__getitem__)
356129/54543    0.251    0.000    0.341    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:317(_rec_list_vars)
        1    0.177    0.177    0.177    0.177 {built-in method pygame.base.quit}
  2137764    0.161    0.000    0.217    0.000 {built-in method builtins.isinstance}
     2504    0.144    0.000    0.144    0.000 {built-in method pygame.display.flip}
    26641    0.088    0.000    0.088    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\player\voxel_handler.py:147(get_voxel_id)
     2504    0.084    0.000    0.084    0.000 {built-in method pygame.event.get}
     4096    0.062    0.000    0.062    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   845619    0.056    0.000    0.056    0.000 {method 'items' of 'dict' objects}
144900/77512    0.054    0.000    0.202    0.000 {method 'format' of 'str' objects}
     3034    0.049    0.000    0.139    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\np\numpy_support.py:357(ufunc_find_matching_loop)
     4096    0.043    0.000    0.045    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:1730(query)
     4096    0.043    0.000   10.767    0.003 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\meshes\chunk_mesh.py:16(__init__)
57974/30934    0.040    0.000    0.102    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\pprint.py:551(_safe_repr)
      210    0.039    0.000    0.262    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\analysis.py:23(compute_use_defs)
     8200    0.038    0.000    0.038    0.000 {method 'vertex_array' of 'mgl.Context' objects}
    34304    0.037    0.000    0.040    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\np\numpy_support.py:339(ufunc_can_cast)
   291664    0.036    0.000    0.036    0.000 {built-in method math.sqrt}
230495/229712    0.036    0.000    0.058    0.000 {built-in method builtins.getattr}
   123456    0.035    0.000    0.049    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:1275(find_insts)
