         340293 function calls in 15.899 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2401   14.158    0.006   14.158    0.006 {method 'tick' of 'pygame.time.Clock' objects}
     2401    0.423    0.000    0.423    0.000 {built-in method pygame.event.get}
    10606    0.259    0.000    0.574    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\sprite.py:63(render)
     2401    0.211    0.000    0.211    0.000 {built-in method pygame.display.flip}
        1    0.163    0.163    0.163    0.163 {built-in method pygame.base.quit}
    42424    0.106    0.000    0.132    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\sprite.py:60(convert_vertex)
     2401    0.041    0.000   14.276    0.006 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\GENESIM_LAB.py:71(update)
       41    0.034    0.001    0.034    0.001 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
     2401    0.034    0.000    0.103    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\events.py:44(handle_events)
     3852    0.032    0.000    0.627    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\sprite.py:81(draw2d)
       41    0.028    0.001    0.028    0.001 {method 'texture' of 'mgl.Context' objects}
    11556    0.022    0.000    0.034    0.000 C:\Users\k1filo20\Documents\venv_evolution\Lib\site-packages\moderngl\__init__.py:1141(render)
    10606    0.020    0.000    0.020    0.000 {method 'write' of 'mgl.Buffer' objects}
     9155    0.019    0.000    0.041    0.000 C:\Users\k1filo20\Documents\venv_evolution\Lib\site-packages\pygame\sprite.py:439(__iter__)
     2401    0.019    0.000    0.033    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\events.py:25(find_active_sprite)
     3852    0.019    0.000    0.051    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\sprite.py:85(update)
     2401    0.018    0.000    0.901    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\GENESIM_LAB.py:82(render)
     9155    0.016    0.000    0.016    0.000 C:\Users\k1filo20\Documents\venv_evolution\Lib\site-packages\pygame\sprite.py:381(sprites)
     2401    0.016    0.000    0.542    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\GENESIM_LAB.py:88(handle_events)
        1    0.016    0.016   15.899   15.899 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\GENESIM_LAB.py:95(run)
     2401    0.015    0.000    0.015    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\surfaces.py:76(<listcomp>)
     2401    0.015    0.000    0.031    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\surfaces.py:75(handle_current_scene)
    10606    0.014    0.000    0.035    0.000 C:\Users\k1filo20\Documents\venv_evolution\Lib\site-packages\moderngl\__init__.py:50(write)
     2401    0.014    0.000    0.645    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\surfaces.py:83(render_current_scene)
    42424    0.014    0.000    0.014    0.000 {method 'get_width' of 'pygame.surface.Surface' objects}
    10606    0.013    0.000    0.023    0.000 C:\Users\k1filo20\Documents\venv_evolution\Lib\site-packages\moderngl\__init__.py:704(use)
    10606    0.013    0.000    0.077    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\sprite.py:52(get_texture)
    42424    0.012    0.000    0.012    0.000 {method 'get_height' of 'pygame.surface.Surface' objects}
    11556    0.012    0.000    0.012    0.000 {method 'render' of 'mgl.VertexArray' objects}
     2401    0.012    0.000    0.012    0.000 {method 'clear' of 'mgl.Framebuffer' objects}
     2401    0.012    0.000    0.063    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\surfaces.py:78(update_current_scene)
    10606    0.010    0.000    0.010    0.000 {method 'use' of 'mgl.Texture' objects}
     2401    0.010    0.000    0.016    0.000 C:\Users\k1filo20\Documents\GitHub\Simulate_evo2023\genesim_lab\game\sprite.py:164(update)
